爬取时间(__time),爬取链接(__url),股票代码(symbol),股票名称(name),当前价(current),涨跌幅(percentage),涨跌额(change),今开(open),最高(high),最低(low),今收(close),昨收(last_close),52周最高(high52w),52周最低(low52week),成交量(volume),平均成交量(volumeAverage),总市值(marketCapital),每股收益(eps),市盈率TTM(pe_ttm),市盈率LYR(pe_lyr),总股本(totalShares),收盘时间(time),更新日期(updateAt),每股股息(dividend),收益率(yield),周转率(turnover_rate),涨停价(rise_stop),跌停价(fall_stop),货币单位(currency_unit),成交额(amount),每股净资产(net_assets),振幅(amplitude),每手股数(lot_size),流通股本(float_shares),流通市值(float_market_capital),市净率TTM(pb),市销率TTM(psr),关注数(fans),
"2018-08-23 00:33:41","http://xueqiu.com/v4/stock/quote.json?code=SH600549","SH600549","厦门钨业","13.52","-1.39%","-0.19","13.69","13.76","13.46","13.52","13.71","29.19","13.34","3548205.0","27280685","1.91079013112E10","0.03","36.942","30.9","1413306310","Wed Aug 22 15:00:00 +0800 2018","1513771202170","0.2","1.48%","0.25%","15.08","12.34","CNY","4.8317305E7","4.906","2.19%","100","1406046199","1.900974461048E10","2.76","1.2561","32369",
"2018-08-23 00:33:40","http://xueqiu.com/v4/stock/quote.json?code=SH600548","SH600548","深高速","8.00","0.38%","0.03","7.97","8.03","7.9","8.0","7.97","9.69","7.45","1890166.0","12428836","1.7446162608E10","0.44","10.322","12.231","2180770326","Wed Aug 22 15:00:00 +0800 2018","1525516403643","0.3","3.75%","0.13%","8.77","7.17","CNY","1.5074916E7","6.4163","1.63%","100","1433270326","1.1466162608E10","1.25","6.5158","16790",
"2018-08-23 00:33:38","http://xueqiu.com/v4/stock/quote.json?code=SH600547","SH600547","山东黄金","22.33","-0.22%","-0.05","22.48","22.55","22.29","22.33","22.38","34.34","21.04","7444592.0","35762535","4.146946300497E10","0.33","36.644","36.459","1857118809","Wed Aug 22 15:00:00 +0800 2018","1513771202163","0.12","0.54%","0.51%","24.62","20.14","CNY","1.66865276E8","9.079","1.16%","100","1451500706","3.241201076498E10","2.46","0.8086","112780",
"2018-08-23 00:33:37","http://xueqiu.com/v4/stock/quote.json?code=SH600546","SH600546","山煤国际","3.51","0.29%","0.01","3.51","3.58","3.48","3.51","3.5","6.3","3.37","5864400.0","49641143","6.9584210514E9","0.02","17.804","18.251","1982456140","Wed Aug 22 15:00:00 +0800 2018","1493004630217","0.0","0.0%","0.30%","3.85","3.15","CNY","2.0700957E7","2.5061","2.86%","100","1982456140","6.9584210514E9","1.4","0.1715","17565",
"2018-08-23 00:33:36","http://xueqiu.com/v4/stock/quote.json?code=SH600545","SH600545","卓郎智能","7.78","-0.13%","-0.01","7.75","7.84","7.72","7.78","7.79","11.82","7.35","1688327.0","44257194","1.47463131011E10","0.07","","22.4","1895412995","Wed Aug 22 15:00:00 +0800 2018","1524607219872","0.01","0.13%","0.25%","8.57","7.01","CNY","1.3135717E7","1.222","1.54%","100","675785777","5.25761334506E9","6.37","1.5987","50801",
"2018-08-23 00:33:34","http://xueqiu.com/v4/stock/quote.json?code=SH600543","SH600543","莫高股份","7.72","-1.78%","-0.14","7.79","7.84","7.64","7.72","7.86","12.36","7.21","1092300.0","18390526","2.4790464E9","0.04","99.438","102.9","321120000","Wed Aug 22 15:00:00 +0800 2018","1525584801205","0.0","0.0%","0.34%","8.65","7.07","CNY","8440114.0","3.5459","2.54%","100","321120000","2.4790464E9","2.18","10.8448","13420",
"2018-08-23 00:33:33","http://xueqiu.com/v4/stock/quote.json?code=SH600540","SH600540","新赛股份","4.31","9.95%","0.39","3.92","4.31","3.84","4.31","3.92","5.9","3.53","3.170277E7","13132472","2.02967947903E9","0.01","200.354","182.85","470923313","Wed Aug 22 15:00:00 +0800 2018","1493004618108","0.0","0.0%","6.73%","4.31","3.53","CNY","1.30541823E8","1.3331","11.99%","100","470923312","2.02967947472E9","3.23","1.6258","10425",
"2018-08-23 00:33:31","http://xueqiu.com/v4/stock/quote.json?code=SH600539","SH600539","*ST狮头","5.97","0.0%","0.00","5.96","6.08","5.94","5.97","5.97","18.68","5.38","629319.0","5020851","1.3731E9","0.01","","","230000000","Wed Aug 22 15:00:00 +0800 2018","1513762250474","0.0","0.0%","0.27%","6.27","5.67","CNY","3773888.0","1.8327","2.35%","100","230000000","1.3731E9","3.26","18.8765","4342",
"2018-08-23 00:33:29","http://xueqiu.com/v4/stock/quote.json?code=SH600538","SH600538","国发股份","4.08","-0.49%","-0.02","3.98","4.16","3.97","4.08","4.1","6.91","3.7","8068692.0","13156431","1.89475683072E9","0.0","156.734","214.081","464401184","Wed Aug 22 15:00:00 +0800 2018","1525071498600","0.0","0.0%","1.74%","4.51","3.69","CNY","3.2749798E7","1.4197","4.63%","100","464401184","1.89475683072E9","2.87","5.0405","10970",
"2018-08-23 00:33:28","http://xueqiu.com/v4/stock/quote.json?code=SH600537","SH600537","亿晶光电","3.07","-1.6%","-0.05","3.11","3.11","3.06","3.07","3.12","5.65","3.0","1793372.0","20987581","3.61142295276E9","0.0","80.925","74.2","1176359268","Wed Aug 22 15:00:00 +0800 2018","1533119604427","0.01","0.33%","0.15%","3.43","2.81","CNY","5528176.0","3.0621","1.60%","100","1176359268","3.61142295276E9","1.0","0.9509","55171",
"2018-08-23 00:33:27","http://xueqiu.com/v4/stock/quote.json?code=SH600536","SH600536","中国软件","28.31","-4.13%","-1.22","29.3","29.96","28.03","28.31","29.53","31.36","11.0","4.3334455E7","22082000","1.400107235842E10","-0.22","251.414","186.934","494562782","Wed Aug 22 15:00:00 +0800 2018","1524531601325","0.05","0.18%","8.76%","32.48","26.58","CNY","1.251945834E9","4.0418","6.54%","100","494562782","1.400107235842E10","7.0","2.9908","39951",
"2018-08-23 00:33:26","http://xueqiu.com/v4/stock/quote.json?code=SH600535","SH600535","天士力","22.14","-0.27%","-0.06","22.01","22.46","21.9","22.14","22.2","33.94","19.71","9578990.0","6703432","3.349043028792E10","0.61","21.672","24.329","1512666228","Wed Aug 22 15:00:00 +0800 2018","1531483204781","0.4","1.81%","0.63%","24.42","19.98","CNY","2.13047838E8","6.0616","2.52%","100","1512666228","3.349043028792E10","3.65","1.9352","83619",
